Der Rosenkavalier,6.0,Comedy
The Scarlet Letter,7.7,Drama
The Sea Beast,6.5,Action/Adventure/Fantasy
The Shamrock Handicap,5.8,Romance/Drama
Shinel,6.7,Drama
The Show-Off,6.8,Comedy/Drama
So This Is Paris,7.0,Comedy
So's Your Old Man,6.2,Comedy
The Son of the Sheik,6.6,Adventure/Drama/Romance
The Sorrows of Satan,6.2,Drama/Romance
Sparrows,7.3,Drama
The Strong Man,6.7,Comedy
Der Student von Prag,6.9,Drama/Horror
Herr Tartüff,7.1,Drama
The Temptress,6.9,Drama/Romance
3 Bad Men,7.5,Romance/Western
Torrent,6.9,Drama/Romance
Tramp Tramp Tramp,6.1,Adventure/Comedy/Romance
The Volga Boatman,6.6,Drama/Romance
West Point,6.4,Drama/Romance/Sport
What Price Glory,6.8,Comedy/Drama/War
The Winning of Barbara Worth,7.0,Drama/Romance/Western
Almost Human,7.5,Drama/Romance
Alraune,6.2,Drama/Fantasy/Horror
Annie Laurie,5.9,Drama/Romance
Baby ryazanskie,7.1,Drama
Barbed Wire,7.0,Drama/Romance/War
The Beloved Rogue,6.9,Adventure/Drama/History
Café Elektric,6.4,Drama
Captain Salvation,6.8,Drama/Romance
Casanova,6.8,Biography/Drama
The Cat and the Canary,7.1,Comedy/Horror/Mystery
Chicago,7.1,Comedy/Crime/Drama
Children of Divorce,6.6,Drama/Romance
College,7.1,Comedy/Drama/Sport
Devushka s korobkoy,7.2,Comedy/Drama/Romance
Downhill,6.1,Adventure/Drama/Thriller
The Drop Kick,4.8,Drama/Sport
Easy Virtue,5.7,Romance/Thriller
The Fair Co-Ed,5.6,Comedy
The First Auto,6.4,Comedy/Drama
The Gaucho,6.9,Adventure/Romance
The General,8.1,Action/Adventure/Comedy
Get Your Man,6.7,Comedy/Romance
La glace à trois faces,7.0,Drama/Romance
Schaste,7.4,Comedy/Drama
Hindle Wakes,7.1,Drama/Romance
Hotel Imperial,6.6,Drama/War
Hula,6.4,Drama/Romance
It,7.3,Comedy/Romance
The Jazz Singer,6.5,Drama/Music/Musical
Le joueur d'échecs,6.8,Drama/Fantasy/War
The Kid Brother,7.6,Comedy/Drama/Family
The King of Kings,7.2,Biography/Drama/History
Konets Sankt-Peterburga,7.3,Drama
Die Liebe der Jeanne Ney,7.3,Drama/Romance
London After Midnight,6.8,Horror
Long Pants,6.3,Comedy
Love,6.9,Drama/Romance
The Love of Sunya,6.1,Drama
Man Woman and Sin,5.9,Drama
Mockery,6.7,Drama/Romance
Mr. Wu,6.4,Drama/Romance
My Best Girl,7.4,Comedy/Romance
Napoléon vu par Abel Gance,8.1,Biography/Drama/History
Oktyabr,7.5,Drama/History
Old San Francisco,6.4,Drama/History/Romance
Orchids and Ermine,6.8,Comedy/Romance
Paid to Love,6.3,Comedy/Romance
The Patent Leather Kid,5.8,Drama/Romance/Sport
Potseluy Meri Pikford,6.3,Comedy
Quality Street,6.4,Comedy/Drama/Romance
The Red Mill,6.6,Comedy/Romance
The Ring,6.2,Drama/Romance/Sport
Running Wild,7.0,Comedy
The Scar of Shame,6.2,Crime/Drama/Romance
7th Heaven,7.6,Drama/Romance
A Ship Comes In,5.6,Drama
Shooting Stars,7.1,Drama/Romance
The Show,6.9,Crime/Drama
Slide Kelly Slide,4.0,Comedy/Sport
Spring Fever,6.0,Comedy
The Student Prince in Old Heidelberg,7.6,Drama/Romance
Sumka dipkuryera,6.3,Thriller
Sunrise: A Song of Two Humans,8.1,Drama/Romance
Tarzan and the Golden Lion,5.5,Action/Adventure
Tell It to the Marines,6.9,Comedy/Drama/Romance
Three's a Crowd,6.1,Comedy/Drama
Tillie the Toiler,5.8,Comedy/Drama
Tretya meshchanskaya,7.4,Comedy/Drama
Twelve Miles Out,5.2,Drama
Two Arabian Knights,6.7,Adventure/Comedy/Romance
Un chapeau de paille d'Italie,6.8,Comedy
Uncle Tom's Cabin,6.7,Drama/History
Underworld,7.6,Crime/Drama/Film-Noir
The Unknown,7.8,Drama/Horror/Romance
Upstream,6.2,Comedy/Drama
When a Man Loves,6.8,History/Romance
Wings,7.5,Drama/Romance/War
Winners of the Wilderness,3.1,Drama/History/War
Die Frau nach der man sich sehnt,6.7,Drama
Xi xiang ji,6.3,Drama/Romance
Abwege,7.0,Drama/Romance
Across to Singapore,6.0,Drama/Romance
The Battle of the Sexes,6.5,Comedy
Beggars of Life,7.5,Adventure/Drama
Bringing Up Father,4.9,Comedy
Die Büchse der Pandora,7.9,Crime/Drama/Romance
The Cameraman,8.1,Comedy/Drama/Family
The Cardboard Lover,6.2,Comedy/Romance
Champagne,5.6,Comedy
La chute de la maison Usher,7.3,Horror
The Circus,8.1,Comedy/Romance
The Cossacks,6.5,Drama
Les deux timides,6.8,Comedy
The Divine Woman,6.7,Drama/Romance
The Docks of New York,7.5,Crime/Drama/Film-Noir
Dom na Trubnoy,7.3,Comedy
Eliso,6.9,Drama/Romance/War
The Farmer's Wife,5.9,Comedy/Drama/Romance
Fazil,5.9,Drama/Romance
Feel My Pulse,7.0,Comedy
4 Devils,6.3,Drama
The Four Feathers,6.9,Adventure/Drama/Romance
Four Sons,7.1,Drama/War
Four Walls,3.9,Drama
The Garden of Eden,6.8,Comedy/Drama
Geschlecht in Fesseln,6.7,Drama
A Girl in Every Port,6.6,Action/Adventure/Comedy
Hangman's House,6.6,Drama/Romance/Thriller
